Date,Trends
29-05-2023,"['Memorial Day', 'Celtics', 'Succession', 'Chivas', '#IPL2023Final']"
30-05-2023,"['Celtics', 'Finals', 'Take Two', '#2023BTSFESTA', '#BTS10thAnniversary']"
31-05-2023,"['Take Two', 'Sevilla', '#主的祈祷', 'Roma', 'baekhyun']"
01-06-2023,"['Pride', 'Happy Pride', 'Happy Pride Month', 'Game 1', 'Namjoon']"
02-06-2023,"['$SUI', '#StrayKids', '#S_Class', '#스트레이키즈', '$FUR']"
03-06-2023,"['jungkook', 'My Time', 'jaemin', '#BangBangCon2023', 'Man City']"
04-06-2023,"['jungkook', '#BuildThe1stConcert', 'Benzema', 'Zlatan', '#SpanishGP']"
05-06-2023,"['Binance', 'Apple', '#WWDC23', 'taeyong', 'Halsey']"
06-06-2023,"['Coinbase', 'Apple', 'The SEC', 'Twitch', 'Saudi']"
07-06-2023,"['Messi', 'Canada', 'Inter Miami', 'New York', 'Tucker']"
08-06-2023,"['Justice', 'Pence', 'Pat Robertson', '#pressconLLLxBECKY', '#SummerGameFest']"
09-06-2023,"['#TakeTwo', '#DROPS', 'Hillary', 'Jack Smith', 'EXO COMEBACK']"
10-06-2023,"['Trump', 'Biden', '#UCLfinal', 'Champions League', 'Manchester City']"
11-06-2023,"['jungkook', '#EXO_EXIST', '#UFC289', 'Xbox', 'Charles']"
12-06-2023,"['#EXO_EXIST', '#BTS10thAnniversary', '#10yearswithBTS', '#10YearsOfAPOBANGPO', 'Mbappe']"
13-06-2023,"['Nuggets', 'Jokic', 'Denver', '#GuerlainTHxMile', 'Heat']"
14-06-2023,"['#FOMC', 'Schiff', 'hoshi', 'Oakland', 'Suki']"
15-06-2023,"['Schiff', 'Blackrock', 'Black Mirror', '#AEWDynamite', 'Native']"
16-06-2023,"['Stake', 'Kick', 'Gunna', '#ATEEZ_BOUNCY', 'THE LAST TIME']"
17-06-2023,"['bruno mars', 'namjoon', 'Queen', 'Ronaldo', 'One Piece']"
18-06-2023,"[""Father's Day"", 'Daddy', 'Dads', '#Potatoesaregreat', '#CanadianGP']"
19-06-2023,"['Juneteenth', '#DOXcoinPRESALE', '#モニタリング', '#NCTDREAM_Broken_Melodies', 'haechan']"
20-06-2023,"['Hunter', 'Andrew Tate', 'Titanic', 'Hunter Biden', '#DOXcoinPRESALE']"
21-06-2023,"['Elon', 'Mario', 'Durham', 'Schiff', 'Switch']"
22-06-2023,"['OceanGate', 'Titan', 'Schiff', 'Elon', '#Titan']"
23-06-2023,"['Wagner', 'Prigozhin', 'Putin', 'Rostov', 'Business is Business']"
24-06-2023,"['Wagner', 'Russia', 'Putin', 'Prigozhin', 'Ukraine']"
25-06-2023,"['Wagner', 'Putin', 'Russia', 'Ukraine', 'Moscow']"
26-06-2023,"['#BETAwards', 'SHINee', '#ForbiddenDoor', 'New Week', '#BetAwards2023']"
27-06-2023,"['Azuki', '#开云体育', '#LongLiveLoveGALAnight', 'Putin', 'Russia']"
28-06-2023,"['FLOKI', 'Eid Mubarak', 'Grimace', 'Bidenomics', 'Iraq']"
29-06-2023,"['jungkook', 'Affirmative Action', 'Supreme Court', 'Harvard', 'SCOTUS']"
30-06-2023,"['Supreme Court', 'Affirmative Action', 'SCOTUS', '#HearMeOutbyEXO', 'EXO 2ND PRE-RELEASE']"
01-07-2023,"['Elon', 'My Twitter', 'Supreme Court', 'SCOTUS', 'Affirmative Action']"
